CASE_NO,ACCD_TP,Sub_bur,Eve_time,YEAR,MONTH,HOUR,Two_HOUR,Three_HOUR,WEEKDAY,Distr,Num_casual,Num_wound,Weather,Light_condition,Road_category,Speed_limit,Road_type,Acc_location,Pavement_con,Signal_classfication,Accident_type,Sex,AGE,Protect_equip,Mobile,Car_type,Move_type,Qualified,Alcohol
CC032423,2,CC,9709202310,97,9,23,12,8,6,111,0,2,3,2,2,50,1,1,2,3,16,1,3,1,1,3,5,1,1
CC032423,2,CC,9709202310,97,9,23,12,8,6,111,0,2,3,2,2,50,1,1,2,3,16,1,3,1,1,6,14,1,1
CD102090,2,CD,9708170645,97,8,6,4,3,7,112,0,2,3,1,2,40,1,1,2,2,13,1,6,1,1,3,3,1,1
CC032423,2,CC,9709202310,97,9,23,12,8,6,111,0,2,3,2,2,50,1,1,2,3,16,2,3,4,3,8,20,3,2
CD101794,2,CD,9708172035,97,8,20,11,7,7,112,0,1,1,2,2,50,1,1,1,2,16,1,7,1,4,3,6,1,1
CH040796,2,CH,9709201935,97,9,19,10,7,6,115,0,3,3,2,2,50,1,1,2,4,15,1,3,1,1,6,9,1,1
CH040796,2,CH,9709201935,97,9,19,10,7,6,115,0,3,3,2,2,50,1,1,2,4,15,1,2,1,1,8,20,3,1
C8015442,2,C8,9708170415,97,8,4,3,2,7,106,0,1,3,2,2,40,1,1,2,4,17,1,3,1,1,6,9,1,2
C6100005,2,C6,9708170720,97,8,7,4,3,7,108,0,1,3,1,2,50,2,4,2,4,3,1,1,1,1,6,9,2,1
C7101022,2,C7,9709211010,97,9,10,6,4,7,104,0,1,3,1,2,40,2,4,2,4,12,2,5,1,1,3,9,1,1
C9100522,2,C9,9709202345,97,9,23,12,8,6,100,0,1,3,2,2,50,1,1,2,1,16,1,3,1,1,3,5,1,1
C9100522,2,C9,9709202345,97,9,23,12,8,6,100,0,1,3,2,2,50,1,1,2,1,16,1,3,1,1,3,9,1,1
C9100522,2,C9,9709202345,97,9,23,12,8,6,100,0,1,3,2,2,50,1,1,2,1,16,2,3,4,3,8,20,3,1
C6004932,2,C6,9708200510,97,8,5,3,2,3,108,0,1,3,1,2,50,1,1,2,2,3,1,5,1,1,5,9,1,1
CI028289,2,CI,9709211406,97,9,14,8,5,7,110,0,1,3,1,2,50,1,1,2,2,17,1,3,4,3,7,15,3,1
C6100136,2,C6,9709211220,97,9,12,7,5,7,108,0,1,2,1,2,50,1,1,2,4,12,1,4,1,1,6,9,1,1
CG100290,2,CG,9709210913,97,9,9,5,4,7,114,0,1,3,1,2,50,1,1,2,4,16,1,3,1,4,6,6,1,1
CG100290,2,CG,9709210913,97,9,9,5,4,7,114,0,1,3,1,2,50,1,1,2,4,16,1,6,1,4,4,1,1,1
